num	zhk	reg	meropr	nps26	nps25	nps24	n26	vklad	seg
78	Саларьево парк	Москва	Группа А (программа максимум)	-63,6	-19,3	-34,4	11	-0,4	Недобор
79	Середневский лес	Москва	Группа А (программа максимум)	-5,3	-28,2	-48,8	19	-0,1	Недобор
80	Сиберово	Татарстан	Группа С (не было мероприятий)	-100,0	—	—	8	-0,5	Недобор
81	Сигнальный 16	Москва	Группа B (программа минимум)	-70,0	-52,6	-41,8	10	-0,4	Недобор
82	Сокольнический вал 1	Москва	Группа С (не было мероприятий)	-100,0	+40,0	-61,4	1	-0,1	Недобор
83	Столичные поляны	Москва	Группа B (программа минимум)	+23,5	-4,3	-49,5	17	+0,2	Недобор
84	Таллинский парк	ЛО	Группа А (программа максимум)	-53,8	-56,1	-36,5	13	-0,4	Недобор
85	Томилинский бульвар	МО	Группа С (не было мероприятий)	-100,0	—	—	1	-0,1	Недобор
86	Утёс	Свердловская обл.	Группа С (не было мероприятий)	+75,0	-41,9	—	4	+0,2	Недобор
87	Черняховского 19	Москва	Группа B (программа минимум)	-100,0	-6,5	-47,5	2	-0,1	Недобор
88	Шереметьевский	Москва	Группа А (программа максимум)	-66,7	+35,1	-41,5	3	-0,1	Недобор
89	Шкиперский 19	Санкт-Петербург	Группа А (программа максимум)	-100,0	—	—	17	-0,9	Недобор
90	Юнино	Москва	Группа А (программа максимум)	-50,0	-41,5	—	2	-0,1	Недобор
91	Ютаново	Москва	Группа А (программа максимум)	-50,0	-47,7	-75,8	6	-0,2	Недобор
92	Янинский лес	ЛО	Группа А (программа максимум)	-35,3	-35,2	-42,9	17	-0,3	Недобор
93	Ярославский	МО	Группа B (программа минимум)	-80,0	-29,2	-46,9	5	-0,2	Недобор
94	Ярославский квартал	МО	Группа B (программа минимум)	0,0	—	—	3	0,0	Недобор
95	Ясеневая 14	Москва	Группа B (программа минимум)	+19,1	-11,1	-6,2	68	+0,7	Звезды
96	Яуза парк	МО	Группа B (программа минимум)	-50,0	—	—	4	-0,1	Недобор
