ЖК,NPS_2024,n_2024,CSAT_2024,NPS_2025,n_2025,CSAT_2025,NPS_2026,n_2026,Δ 2025 vs 2024,hypothesis_2025_2024,Δ 2026 vs 2025,hypothesis_2026_2025,Δ 2026 vs 2024,hypothesis_2026_2024
Сигнальный 16,-41.8,98,2.94,-52.6,57,2.89,-70.0,10,-10.8,,-17.4,гипотеза,-28.2,гипотеза
Сокольнический вал 1,-61.4,57,2.4,40.0,5,3.8,-100.0,1,101.4,гипотеза,-140.0,гипотеза,-38.6,гипотеза
Столичные поляны,-49.5,390,2.62,-4.3,46,3.52,23.5,17,45.2,гипотеза,27.8,гипотеза,73.0,гипотеза
Таллинский парк,-36.5,96,3.05,-56.1,107,2.87,-53.8,13,-19.6,,2.3,гипотеза,-17.3,гипотеза
Томилинский бульвар,,0,,-65.1,43,2.4,-100.0,1,,гипотеза,-34.9,гипотеза,,гипотеза
Утёс,,0,,-41.9,43,3.05,75.0,4,,гипотеза,116.9,гипотеза,,гипотеза
Черняховского 19,-47.5,99,2.92,-6.5,31,3.26,-100.0,4,41.0,гипотеза,-93.5,гипотеза,-52.5,гипотеза
Шереметьевский,-41.5,193,2.74,35.1,57,4.28,-66.7,3,76.6,,-101.8,гипотеза,-25.2,гипотеза
Шкиперский 19,,0,,-58.6,29,2.72,-100.0,17,,гипотеза,-41.4,гипотеза,,гипотеза
Юнино,,0,,-41.5,41,3.32,-50.0,2,,гипотеза,-8.5,гипотеза,,гипотеза
Ютаново,-75.8,33,2.42,-47.7,86,2.85,-50.0,6,28.1,гипотеза,-2.3,гипотеза,25.8,гипотеза
Янинский лес,-42.9,112,2.99,-35.2,54,3.37,-35.3,17,7.7,,-0.1,гипотеза,7.6,гипотеза
Ярославский,-46.9,179,2.72,-29.2,72,3.07,-83.3,6,17.7,,-54.1,гипотеза,-36.4,гипотеза
Ярославский квартал,,0,,,0,,0.0,4,,гипотеза,,гипотеза,,гипотеза
Ясеневая 14,-6.2,352,3.39,-11.1,90,3.54,18.6,70,-4.9,,29.7,,24.8,
Яуза парк,,0,,,0,,-50.0,4,,гипотеза,,гипотеза,,гипотеза
